1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2102.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г. (за исключением Постановлений Совета министров СССР №№ 841-223сс, 856-232)	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2103.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2104.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2105.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2106.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2107.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2108.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2109.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2110.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2111.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2112.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2113.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2114.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2115.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2116.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2117.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2118.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2119.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2120.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2121.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2122.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2123.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2124.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2125.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2126.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2127.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2128.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
1982 г.	Постановления Совета министров СССР за 1982 г.	ГА РФ. Ф. Р-5446. Оп. 106с. Д. 2129.	Рассекречено в 2018 году	Совет народных комиссаров СССР – Совет Министров СССР. 1921–1991
